Gene_X,Gene_Y,P-value (exp_vs_XY),P-value adj (exp_vs_XY),P-value (exp_vs_YX),P-value adj (exp_vs_YX),P-value (actual_XY_vs_YX),P-value adj (actual_XY_vs_YX),P-value (exp_vs_average_XY_YX),P-value adj (exp_vs_average_XY_YX),Significant
NIK1,HOG1,0.6721599256617471,0.8238349682695048,0.47567196557095864,0.6293300443368581,0.2951432173405515,0.44214941754848897,0.38836410150740175,0.5674964531920368,0.0
NIK1,FGR15,0.0163871809128598,0.08900826685300692,0.6878629313824245,0.8079137482832469,0.01593098610635133,0.07100147850592312,0.21990313466467426,0.42552684500047355,0.0
NIK1,SSK1,0.17311385620911143,0.345716159516619,0.356817481875111,0.516644583559195,0.29746906230874665,0.4439328372622898,0.1045487325111212,0.2915127204199431,0.0
NIK1,TPK1,0.6660347008759506,0.8197240909089721,0.6895569571334719,0.8079137482832469,0.2576007022462496,0.40778086873799024,0.9837592302931745,0.9910497887435008,0.0
NIK1,MSN4,0.3365224126311104,0.5277980696585196,0.6607435640807532,0.7878739713469234,0.06540486077550584,0.1727925713731269,0.29785850056611063,0.4933475507355529,0.0
NIK1,TPS2,0.11227769032869686,0.260088185487479,0.009824753391752065,0.07463643302443908,0.11074807372048016,0.23156415414282217,0.03565260391102411,0.17275570675585664,0.0
NIK1,YAK1,0.540436879731678,0.7187253349008913,0.4088891952352974,0.5647707066153228,0.4358743818028478,0.5699895762037241,0.2754206534942654,0.4691139849709984,0.0
NIK1,TYE7,0.310789542240214,0.5074917841644001,,,,,0.310789542240214,0.49927376597080203,0.0
NIK1,CAT1,0.552795408487009,0.7276592621920833,0.7145917662208738,0.8289968519458906,0.6892247903808653,0.7788638527136368,0.48416275815276855,0.6355969247996698,0.0
C7_03620C_A,NIK1,0.46993032960630154,0.6436215050104136,0.2674196010619551,0.44179127361407666,0.09980306712113568,0.21923315489956138,0.9843984478794505,0.9910497887435008,0.0
C7_03620C_A,C7_00810W_A,0.7987962674716443,0.890235149061271,0.3246960775627032,0.49332855655494584,0.39069306523284386,0.5322682526342926,0.4396954896233044,0.602433360495378,0.0
C7_03620C_A,MIG1,0.4548649568720414,0.6360713218048059,0.6174475551105494,0.7534139856400744,0.1629190600088572,0.3004780776578451,0.9618685006241363,0.9782826388600431,0.0
C7_03620C_A,PDE1,0.1362093120689084,0.2982372346055862,0.22235308948305255,0.3952011514962934,0.5770791891483316,0.692140990665637,0.1139448688044737,0.3082721291302047,0.0
C7_03620C_A,SKN7,0.21726793700347344,0.4024191527980944,0.30394705200057365,0.4736889555954729,0.004371623672596286,0.03337647486214758,0.8551245044639997,0.9149985721015149,0.0
C7_03620C_A,PBS2,0.06787664309959926,0.1967659990977147,0.1532738004532696,0.3273485225365564,0.004438815071180753,0.03337647486214758,0.6926793106865445,0.8000714518782569,0.0
C7_03620C_A,C3_00570C_A,0.8649074267728599,0.927842478617039,0.952482424095386,0.9689252083965489,0.9044802197740391,0.930662541925393,0.8794336828501953,0.9248639163955967,0.0
C7_03620C_A,GCN4,0.14213126310775212,0.3046367324009218,0.12190634141902788,0.28708943404181064,0.020428930592658098,0.08068395819928602,0.7878145958223646,0.8713041486745832,0.0
C7_03620C_A,TPK2,0.26261054905660963,0.4547216218564113,0.9051062573115249,0.9448086337562603,0.1836810135433369,0.3206217691760926,0.5311189490909628,0.6822131328840816,0.0
C7_03620C_A,RCK2,0.4004100317763151,0.5971432843831752,,,,,0.4004100317763151,0.5682009022349614,0.0
C7_03620C_A,EFH1,0.4319377651071797,0.6225695161880019,0.727908477815308,0.8341724891752069,0.30059705361036665,0.4452024544002021,0.8252507570945586,0.8894203458017305,0.0
