Gene_X,Gene_Y,P-value (exp_vs_XY),P-value adj (exp_vs_XY),P-value (exp_vs_YX),P-value adj (exp_vs_YX),P-value (actual_XY_vs_YX),P-value adj (actual_XY_vs_YX),P-value (exp_vs_average_XY_YX),P-value adj (exp_vs_average_XY_YX),Significant
GCN4,PTC1,0.8627691477912167,0.9885303562766522,0.057741481666546655,0.4131309645236796,0.001897559473835193,0.10901973295489054,0.324043375601312,0.7484021942340532,0.0
GCN4,MSN4,0.8162628978407594,0.9885303562766522,0.29188684779922924,0.5530733404115531,0.2943348705157028,0.5396139292787885,0.7492863738025328,0.9499685313426952,0.0
GCN4,TPS2,0.22379072718113216,0.8596721745437845,0.017526588017024933,0.2856833846775064,0.3680930402918524,0.5789213620261789,0.034879809616570986,0.4054777867926377,0.0
GCN4,HSP30,0.48522609478477696,0.9885303562766522,0.3356470735755937,0.5640254947713584,0.9129345192435373,0.9593952282394922,0.3107584447337848,0.7484021942340532,0.0
GCN4,YAK1,0.8814347615354764,0.9885303562766522,0.1625602902522928,0.4648653914232233,0.3068891494410944,0.5502564934169146,0.4209013078229705,0.7545821700816334,0.0
GCN4,TYE7,0.8029117055143706,0.9885303562766522,0.5107072332313741,0.7054684662433388,0.3775825160981549,0.5789213620261789,0.8082028676634244,0.9499685313426952,0.0
GCN4,CAT1,0.41373265755392896,0.9380053799787345,0.031048673337255736,0.3893025964594373,0.229352989327101,0.5001572857549749,0.09224431937434772,0.5432497326616718,0.0
C2_10540W_A,GCN4,0.3110246625283098,0.8639954737453284,0.7694222023258832,0.883209992810697,0.3723724198838952,0.5789213620261789,0.394168470682803,0.7545821700816334,0.0
C2_10540W_A,RCK2,0.9272141106503766,0.9957692967665555,,,,,0.9272141106503766,0.9798967305736934,0.0
C2_10540W_A,EFH1,0.7632197318707199,0.9885303562766522,0.5630211577959088,0.7573982891583839,0.6676172884729646,0.8022627920305373,0.5410901038890448,0.8182338156370922,0.0
C2_10540W_A,SSN3,0.831930397946488,0.9885303562766522,0.21939187039400562,0.5173666897652088,0.13823137303257743,0.3875899283070308,0.3543316812390652,0.7484021942340532,0.0
C2_10540W_A,HOG1,0.3743621656625466,0.900639413043228,0.12221893430859665,0.4648653914232233,0.08067572332943429,0.3866812723866826,0.9737757042302468,0.9843602227544886,0.0
C2_10540W_A,FGR15,0.5681885219563387,0.9885303562766522,0.2380521578674274,0.5173666897652088,0.1347902232492218,0.3866812723866826,0.8189582909885383,0.9499685313426952,0.0
C2_10540W_A,SSK1,0.35643483240162915,0.8964876087677339,,,,,0.35643483240162915,0.7484021942340532,0.0
C2_10540W_A,C1_12120W_A,0.955376885610703,0.9979262013396901,0.13321062842394638,0.4648653914232233,0.15696162388886917,0.4008127181447909,0.4690071051798167,0.7943965359784543,0.0
C2_10540W_A,TPK1,0.5344540844806687,0.9885303562766522,0.013258212091982205,0.2401209523325666,0.05958297944041848,0.38288278463050707,0.11334923918123126,0.604032531255102,0.0
C2_10540W_A,PTC1,0.9212641020610207,0.9957692967665555,0.04073879193266155,0.40438435347954094,0.03924716371298393,0.3301379065268648,0.3359351076646898,0.7484021942340532,0.0
